player,text-center (2),text-center (6),text-center (7),text-center (8),text-center (9),text-center (10)
Monkey,0.0,0.0,0.0,0.9454665838173907,-0.2028902665274931,0.7698993749799683
Self-driving car,0.0,0.0,0.0,0.7572555064789366,-0.09901045006541663,0.5774245312349763
king.,0.0,0.0,0.0,1.8865219705096614,1.355306980403654,0.4491079687383148
SkyBot,0.0,0.0,0.0,0.09851673579434708,-0.618409532375799,0.4491079687383148
Kamael,0.0,0.0,0.0,-0.1837998802133341,-0.8261691652999519,0.38494968748998415
BitBot,0.0,0.0,0.0,0.2867278131328012,-0.09901045006541663,0.25663312499332275
Cheezer,0.0,0.0,0.0,-0.1837998802133341,-0.618409532375799,0.25663312499332275
VirxEB,0.0,0.0,0.0,-0.27790541888256115,-0.7222893488378754,0.25663312499332275
Rapha,0.0,0.0,0.0,0.5690444291404824,0.3165088157828892,0.19247484374499207
Wildfire,0.0,0.0,0.0,0.2867278131328012,0.1087491828587363,0.12831656249666137
Engine,0.0,0.0,0.0,-0.4661164962210153,-0.7222893488378754,0.12831656249666137
Cheesus,0.0,0.0,0.0,-0.27790541888256115,-0.41064989945164604,0.06415828124833069
Oneborg,0.0,0.0,0.0,1.6983108931712072,1.8747060627140362,0.0
Atlas,0.0,0.0,0.0,-0.5602220348902424,-0.618409532375799,0.0
BroccoliBot,0.0,0.0,0.0,-0.6543275735594695,-0.7222893488378754,0.0
DisasterBot,0.0,0.0,0.0,-0.6543275735594695,-0.7222893488378754,0.0
ElkBot,0.0,0.0,0.0,-0.7484331122286965,-0.8261691652999519,0.0
AdversityBot,0.0,0.0,0.0,-0.5602220348902424,-0.5145297159137224,-0.06415828124833069
Raisin Bran,0.0,0.0,0.0,0.09851673579434708,0.4203886322449657,-0.19247484374499207
Air Bud,0.0,0.0,0.0,-0.6543275735594695,-0.41064989945164604,-0.19247484374499207
Aether,0.0,0.0,0.0,-0.9366441895671507,-0.7222893488378754,-0.19247484374499207
Phoenix CS,0.0,0.0,0.0,-0.4661164962210153,-0.09901045006541663,-0.25663312499332275
Beast from the East,0.0,0.0,0.0,-0.8425386508979236,-0.5145297159137224,-0.25663312499332275
ReliefBot,0.0,0.0,0.0,-0.4661164962210153,0.004869366396659834,-0.3207914062416535
PenguinBot,0.0,0.0,0.0,-0.6543275735594695,-0.09901045006541663,-0.38494968748998415
RedBot,0.0,0.0,0.0,-0.08969434154410705,1.2514271639415775,-0.834057656228299
Vector,0.0,0.0,0.0,0.9454665838173907,2.497984961486495,-0.8982159374766296
St. Peter,0.0,0.0,0.0,-0.8425386508979236,0.5242684487070421,-0.8982159374766296
Molten,0.0,0.0,0.0,-0.5602220348902424,1.4591867968657304,-1.283165624966614
NomBot_v1.0,0.0,0.0,0.0,-0.1837998802133341,1.9785858791761126,-1.3473239062149445
ABot,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.6543275735594695,-0.5145297159137224,-0.12831656249666137
rashBot,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.7484331122286965,-0.618409532375799,-0.12831656249666137
RocketNoddles,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.8425386508979236,-0.7222893488378754,-0.12831656249666137
Nexto-EZ50,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.27790541888256115,0.5242684487070421,-0.5132662499866455
ForumlarBot 1.5,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.9366441895671507,-0.2028902665274931,-0.5132662499866455
Nexto-EZ40,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.8425386508979236,0.1087491828587363,-0.641582812483307
CheeseBot,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.5602220348902424,0.5242684487070421,-0.7057410937316376
Zoomlettet,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.9366441895671507,0.1087491828587363,-0.7057410937316376
Aries,-1.414213562373095,1.414213562373095,-1.414213562373095,-1.2189608055748318,0.939787714555348,-1.4114821874632753
Blind and Deaf,-1.414213562373095,1.414213562373095,-1.414213562373095,-1.2189608055748318,0.939787714555348,-1.4114821874632753
Lanfear,-1.414213562373095,1.414213562373095,-1.414213562373095,-1.2189608055748318,0.939787714555348,-1.4114821874632753
Seer v0,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.37201095755178826,1.9785858791761126,-1.475640468711606
FillamentBot,-1.414213562373095,1.414213562373095,-1.414213562373095,-1.0307497282363778,1.4591867968657304,-1.6039570312082674
Noob Blue,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.08969434154410705,2.6018647779485713,-1.668115312456598
Stick,-1.414213562373095,1.414213562373095,-1.414213562373095,-0.9366441895671507,1.8747060627140362,-1.7964318749532593
JoeyBot,-1.414213562373095,1.414213562373095,-1.414213562373095,-1.1248552669056047,2.1863455121002655,-2.1172232811949128
